Linux 3.10.0-327.10.1.el7.x86_64 (storage14.cluster) 	02/23/2017 	_x86_64_	(28 CPU)

08:20:51 PM       tps      rtps      wtps   bread/s   bwrtn/s
08:21:51 PM      5.50      0.00      5.50      0.00     68.18
08:22:51 PM    450.08      0.00    450.08      0.00 112885.07
08:23:51 PM    947.75    291.45    656.30  49564.53 163453.08
08:24:51 PM   1776.03    324.83   1451.20  55177.20 362839.20
08:25:51 PM   3113.43    358.33   2755.10  60882.67 693712.40
08:26:51 PM   1482.87   1068.15    414.72 182357.87  99668.67
08:27:51 PM   5060.98      0.48   5060.50     74.00 1274431.38
08:28:51 PM   1281.88      0.00   1281.88      0.00 316357.47
08:29:51 PM   2968.93   2056.23    912.70 351096.13 224333.37
08:30:51 PM    379.02    222.90    156.12  40238.13  34112.98
08:31:51 PM   2205.00      0.00   2205.00      0.00 553504.70
08:32:51 PM   2896.65    332.18   2564.47  56682.53 643965.72
08:33:51 PM   1223.53    835.40    388.13 142370.40  92499.47
08:34:51 PM   4645.97      0.00   4645.97      0.00 1169808.58
08:35:51 PM   1081.28      0.00   1081.28      0.00 266628.83
08:36:51 PM   2284.57   1756.33    528.23 298575.60 127678.28
08:37:51 PM    226.47    140.67     85.80  23940.00  20056.12
08:38:51 PM   1130.12      0.00   1130.12      0.00 284727.67
08:39:51 PM   2866.13    175.88   2690.25  31928.40 678152.27
08:40:51 PM   1310.67    901.22    409.45 153582.93  97665.85
08:41:51 PM   4358.75      0.00   4358.75      0.00 1096917.97
08:42:51 PM   1634.65      0.00   1634.65      0.00 405657.67
08:43:51 PM   1693.45   1668.60     24.85 285378.00    888.30
08:44:51 PM      3.98      0.00      3.98      0.00     52.92
08:45:51 PM      2.07      0.00      2.07      0.00     19.48
08:46:51 PM      1.97      0.00      1.97      0.00     21.40
08:47:51 PM      2.50      0.00      2.50      0.00     25.63
08:48:51 PM      1.77      0.00      1.77      0.00     18.97
Average:      1608.43    361.88   1246.55  61851.73 311433.99
