Linux 3.10.0-327.10.1.el7.x86_64 (storage14.cluster) 	02/23/2017 	_x86_64_	(28 CPU)

08:20:51 PM kbmemfree kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
08:21:51 PM 455651416  72448156     13.72      1992  65589740  12504644      2.35  19911136  46771596        44
08:22:51 PM 454739108  73360464     13.89      1992  66258464  12535736      2.36  20213652  47380236     49744
08:23:51 PM 395519492 132580080     25.11      1992  69906552 132889092     24.98  75534052  50930980    500928
08:24:51 PM 394663256 133436316     25.27      1992  73287512 132013288     24.81  73057284  54212652     11184
08:25:51 PM 444802260  83297312     15.77      1992  73414188  14925864      2.81  23125436  54187928   2983816
08:26:51 PM 446985020  81114552     15.36      1992  71192692  14920376      2.80  23112564  52040432      1092
08:27:51 PM 397729160 130370412     24.69      1992  84062832  86763872     16.31  59442200  64473568   4403472
08:28:51 PM 428735484  99364088     18.82      1992  85390096  95597828     17.97  27237448  65753508      6580
08:29:51 PM 446294308  81805264     15.49      1992  70880596  16040928      3.02  23971276  51920412    961184
08:30:51 PM 447041016  81058556     15.35      1992  65649540  96495112     18.14  28383076  46814020     26980
08:31:51 PM 443156032  84943540     16.08      1992  73393072  16623492      3.12  24674364  54287384      2192
08:32:51 PM 442062760  86036812     16.29      1992  74352508  16570592      3.11  24870744  55146332   2766560
08:33:51 PM 444223708  83875864     15.88      1992  72218036  16565064      3.11  24811432  53071980        44
08:34:51 PM 417482492 110617080     20.95      1992  80935680  50906316      9.57  42922324  61415804   3928768
08:35:51 PM 428261776  99837796     18.91      1992  81599568  97593652     18.34  31522336  62023684      7860
08:36:51 PM 449164760  78934812     14.95      1992  66812076  16968816      3.19  25231012  47898388    546556
08:37:51 PM 449815128  78284444     14.82      1992  65636708  18308144      3.44  25692420  46794172     13152
08:38:51 PM 448464512  79635060     15.08      1992  67474220  16915136      3.18  25325080  48480560      2260
08:39:51 PM 440531940  87567632     16.58      1992  74843064  17264716      3.25  25926980  55605140   2918876
08:40:51 PM 442923988  85175584     16.13      1992  72421044  17252496      3.24  25924452  53252356       212
08:41:51 PM 420802824 107296748     20.32      1992  81737748  42892380      8.06  38800540  62178712   4416752
08:42:51 PM 423116500 104983072     19.88      1992  84525180  97502412     18.33  33697608  64898212     11496
08:43:51 PM 435702572  92397000     17.50      1992  79445416  17065976      3.21  26202904  59955200        28
08:44:51 PM 435664576  92434996     17.50      1992  79445588  17038448      3.20  26241368  59955280        48
08:45:51 PM 441572656  86526916     16.38      1992  79445604   6007800      1.13  20353616  59955248        20
08:46:51 PM 441574956  86524616     16.38      1992  79445724   6006860      1.13  20355572  59955296        40
08:47:51 PM 442354156  85745416     16.24      1992  79445828    852196      0.16  19577756  59955320        16
08:48:51 PM 442358844  85740728     16.24      1992  79445904    843920      0.16  19575096  59955340        16
Average:    435764096  92335476     17.48      1992  74937685  38852327      7.30  30560490  55688205    841426
