Linux 3.10.0-327.10.1.el7.x86_64 (storage14.cluster) 	02/23/2017 	_x86_64_	(28 CPU)

08:20:51 PM     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s
08:21:51 PM       en4      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:21:51 PM       en0      0.50      0.00      0.03      0.00      0.00      0.00      0.50
08:21:51 PM       en3      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:21:51 PM       en1     24.17      4.47      2.45      0.58      0.00      0.00     20.15
08:21:51 PM       en2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:21:51 PM        lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:21:51 PM       ib0     33.82     36.30      5.57      6.40      0.00      0.00      0.00
08:22:51 PM       en4      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:22:51 PM       en0      0.48      0.00      0.03      0.00      0.00      0.00      0.48
08:22:51 PM       en3      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:22:51 PM       en1     19.77      0.78      1.94      0.07      0.00      0.00     18.88
08:22:51 PM       en2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:22:51 PM        lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:22:51 PM       ib0   1359.02   1766.65  57340.72  13334.93      0.00      0.00      0.00
08:23:51 PM       en4      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:23:51 PM       en0      0.50      0.00      0.03      0.00      0.00      0.00      0.50
08:23:51 PM       en3      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:23:51 PM       en1     39.08     22.03      6.84      3.40      0.00      0.00     19.65
08:23:51 PM       en2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:23:51 PM        lo   3801.63   3801.63  73945.02  73945.02      0.00      0.00      0.00
08:23:51 PM       ib0  17743.10   7085.15 150442.08 102461.46      0.00      0.00      0.00
08:24:51 PM       en4      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:24:51 PM       en0      0.50      0.00      0.03      0.00      0.00      0.00      0.50
08:24:51 PM       en3      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:24:51 PM       en1     34.02     17.22      5.09      3.47      0.00      0.00     19.83
08:24:51 PM       en2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:24:51 PM        lo   5076.42   5076.42 100846.01 100846.01      0.00      0.00      0.00
08:24:51 PM       ib0   8124.83   7151.02 100177.15 129816.05      0.00      0.00      0.00
08:25:51 PM       en4      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:25:51 PM       en0      0.50      0.00      0.03      0.00      0.00      0.00      0.50
08:25:51 PM       en3      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:25:51 PM       en1     40.98     26.18      6.03      5.89      0.00      0.00     21.35
08:25:51 PM       en2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:25:51 PM        lo   9345.53   9345.53 183260.65 183260.65      0.00      0.00      0.00
08:25:51 PM       ib0  15717.22  17479.90 287763.66 292179.07      0.00      0.00      0.00
08:26:51 PM       en4      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:26:51 PM       en0      0.50      0.00      0.03      0.00      0.00      0.00      0.50
08:26:51 PM       en3      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:26:51 PM       en1     30.82     14.50      4.72      2.43      0.00      0.00     18.75
08:26:51 PM       en2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:26:51 PM        lo   3636.93   3636.93  61898.43  61898.43      0.00      0.00      0.00
08:26:51 PM       ib0   7663.65   8369.57  75344.05  75374.70      0.00      0.00      0.00
08:27:51 PM       en4      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:27:51 PM       en0      0.48      0.00      0.03      0.00      0.00      0.00      0.48
08:27:51 PM       en3      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:27:51 PM       en1     49.17     34.18      8.36      7.61      0.00      0.00     21.97
08:27:51 PM       en2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:27:51 PM        lo  11627.67  11627.67 236348.88 236348.88      0.00      0.00      0.00
08:27:51 PM       ib0  23900.83  23776.38 506491.27 517642.42      0.00      0.00      0.00
08:28:51 PM       en4      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:28:51 PM       en0      0.50      0.00      0.03      0.00      0.00      0.00      0.50
08:28:51 PM       en3      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:28:51 PM       en1     30.12      9.35      4.37      1.59      0.00      0.00     20.98
08:28:51 PM       en2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:28:51 PM        lo   1414.22   1414.22  28741.52  28741.52      0.00      0.00      0.00
08:28:51 PM       ib0   2024.68   1818.18  26885.12  46509.51      0.00      0.00      0.00
08:29:51 PM       en4      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:29:51 PM       en0      0.50      0.00      0.03      0.00      0.00      0.00      0.50
08:29:51 PM       en3      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:29:51 PM       en1     44.83     29.47      6.97      5.23      0.00      0.00     20.92
08:29:51 PM       en2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:29:51 PM        lo   8887.88   8887.88 165712.30 165712.30      0.00      0.00      0.00
08:29:51 PM       ib0  21279.15  24099.55 210531.10 305410.60      0.00      0.00      0.00
08:30:51 PM       en4      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:30:51 PM       en0      0.50      0.00      0.03      0.00      0.00      0.00      0.50
08:30:51 PM       en3      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:30:51 PM       en1     36.30     18.12      6.25      2.58      0.00      0.00     19.48
08:30:51 PM       en2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:30:51 PM        lo   2260.92   2260.92  39771.03  39771.03      0.00      0.00      0.00
08:30:51 PM       ib0   5286.97   3391.12  41268.01  15636.31      0.00      0.00      0.00
08:31:51 PM       en4      0.00      0.00      0.00      0.00      0.00      0.00      0.00
