Linux 3.10.0-327.10.1.el7.x86_64 (storage13.cluster) 	02/23/2017 	_x86_64_	(28 CPU)

01:23:35 PM  pgpgin/s pgpgout/s   fault/s  majflt/s  pgfree/s pgscank/s pgscand/s pgsteal/s    %vmeff
01:24:35 PM      0.00     20.17   8067.92      2.55   7123.85      0.00      0.00      0.00      0.00
01:25:35 PM      0.00  63030.68    609.02      0.00  93125.25      0.00      0.00      0.00      0.00
01:26:35 PM  16102.80  16262.13    301.93      0.00 155585.82      0.00      0.00      0.00      0.00
01:27:35 PM  28814.67  78974.73    582.47      0.00 357832.98      0.00      0.00      0.00      0.00
01:28:35 PM      0.00 266717.52    491.58      0.00 352017.98      0.00      0.00      0.00      0.00
01:29:35 PM 138810.67  15471.83    366.85      0.00 1064697.72      0.00      0.00      0.00      0.00
01:30:35 PM  85907.47 240753.52    526.90      0.00 1011839.92      0.00      0.00      0.00      0.00
01:31:35 PM      0.00 437739.57    276.87      0.00 524448.77      0.00      0.00      0.00      0.00
01:32:35 PM 212845.07  15192.93    514.45      0.00 1208855.03      0.00      0.00      0.00      0.00
01:33:35 PM 125094.07 213247.83    493.48      0.00 1018269.28      0.00      0.00      0.00      0.00
01:34:35 PM      0.00 899204.80    423.82      0.00 1132304.23      0.00      0.00      0.00      0.00
01:35:35 PM  41541.27 354177.65    352.43      0.00 593259.23      0.00      0.00      0.00      0.00
01:36:35 PM 331136.60     16.35    519.82      0.00 1951798.58      0.00      0.00      0.00      0.00
01:37:35 PM 293731.20   1945.07    716.90      0.00 1400730.23      0.00      0.00      0.00      0.00
01:38:35 PM      0.00  85065.27    173.53      0.00 114404.08      0.00      0.00      0.00      0.00
01:39:35 PM  43336.13   5529.30    159.88      0.00 392027.50      0.00      0.00      0.00      0.00
01:40:35 PM  26026.93 163993.78    327.08      0.00 461565.28      0.00      0.00      0.00      0.00
01:41:35 PM      0.00 255776.72    126.92      0.00 302063.38      0.00      0.00      0.00      0.00
01:42:35 PM 205727.93   3047.98    313.12      0.00 1671469.73      0.00      0.00      0.00      0.00
01:43:35 PM  33045.13 466980.63    330.02      0.00 949728.67      0.00      0.00      0.00      0.00
01:44:35 PM  37203.73 334588.45    220.37      0.00 637584.63      0.00      0.00      0.00      0.00
01:45:35 PM 306056.07     19.27    446.30      0.00 2193393.13      0.00      0.00      0.00      0.00
01:46:35 PM  65967.47 460610.93    622.67      0.00 1040693.18      0.00      0.00      0.00      0.00
01:47:35 PM      0.00 856368.08    510.67      0.00 1026109.67      0.00      0.00      0.00      0.00
01:48:35 PM  98915.47 149654.88    255.05      0.00 708342.83      0.00      0.00      0.00      0.00
01:49:35 PM 260842.40     20.62    420.45      0.00 1896110.63      0.00      0.00      0.00      0.00
01:50:35 PM 168189.67  21208.05    162.38      0.00 1213777.82      0.00      0.00      0.00      0.00
01:51:35 PM      0.00  58383.22    101.63      0.00  74185.53      0.00      0.00      0.00      0.00
01:52:35 PM  32806.53   1939.02    112.53      0.00 288986.25      0.00      0.00      0.00      0.00
01:53:35 PM   6070.80 286304.42    224.47      0.00 462214.92      0.00      0.00      0.00      0.00
01:54:35 PM  53271.47 173937.90    275.62      0.00 616005.55      0.00      0.00      0.00      0.00
01:55:35 PM 209876.53     12.58    350.93      0.00 1688881.23      0.00      0.00      0.00      0.00
01:56:35 PM      0.00 556438.03    256.92      0.00 775937.87      0.00      0.00      0.00      0.00
01:57:35 PM 113017.27 163659.22    152.88      0.00 802922.43      0.00      0.00      0.00      0.00
01:58:35 PM 294744.67     15.87    429.32      0.00 1709114.58      0.00      0.00      0.00      0.00
01:59:35 PM      0.00 707476.47    444.05      0.00 922515.65      0.00      0.00      0.00      0.00
02:00:35 PM      0.00 757608.12    200.02      0.00 844395.10      0.00      0.00      0.00      0.00
02:01:35 PM 137599.40  45588.85    437.37      0.00 1529388.52      0.00      0.00      0.00      0.00
02:02:35 PM 253588.60     21.40    557.85      0.00 1692116.65      0.00      0.00      0.00      0.00
02:03:35 PM  55857.67     20.60    388.92      0.00 518634.78      0.00      0.00      0.00      0.00
02:04:35 PM      0.00      8.12    512.00      0.00    382.65      0.00      0.00      0.00      0.00
02:05:35 PM      0.00      6.68    140.00      0.00   3138.77      0.00      0.00      0.00      0.00
02:06:35 PM      0.00      4.58    106.10      0.00    114.08      0.00      0.00      0.00      0.00
02:07:35 PM      0.00      5.22    506.52      0.00   1971.35      0.00      0.00      0.00      0.00
02:08:35 PM      0.00      5.58    131.35      0.00    119.15      0.00      0.00      0.00      0.00
Average:     81691.73 181267.88    525.36      0.06 786892.99      0.00      0.00      0.00      0.00
